date,course,par,score,fairways_hit,fairways_total,greens_in_regulation,putts,penalties
2025-01-05,Riverside Golf Club,72,91,5,14,3,36,4
2025-01-19,Oakmont Hills,71,89,6,14,4,35,3
2025-02-02,Pinehurst Meadows,72,90,5,14,4,37,3
2025-02-16,Riverside Golf Club,72,87,7,14,5,34,2
2025-03-02,Oakmont Hills,71,86,7,14,5,33,2
2025-03-16,Pinehurst Meadows,72,88,6,14,5,36,3
2025-03-30,Riverside Golf Club,72,85,8,14,6,33,2
2025-04-13,Oakmont Hills,71,84,8,14,6,32,1
2025-04-27,Cedar Point Links,72,86,7,14,6,34,2
2025-05-11,Pinehurst Meadows,72,83,9,14,7,32,2
2025-05-25,Riverside Golf Club,72,82,9,14,8,31,1
2025-06-08,Oakmont Hills,71,81,10,14,8,30,1
2025-06-22,Cedar Point Links,72,83,9,14,8,31,1
2025-07-06,Pinehurst Meadows,72,80,10,14,9,29,1
2025-07-20,Riverside Golf Club,72,79,11,14,10,29,0
2025-08-03,Oakmont Hills,71,78,11,14,10,28,0
2025-08-17,Cedar Point Links,72,80,10,14,9,29,1
2025-08-31,Pinehurst Meadows,72,77,12,14,11,27,0
